loss_generator,loss_discriminator
0.044492,0.037614
0.037698,0.018936
0.038091,0.024108
0.036873,0.027090
0.035561,0.028976
0.046584,0.009205
0.042123,0.011000
0.039945,0.013268
0.038368,0.040455
0.034921,0.037419
0.044054,0.009752
0.038419,0.064676
0.042171,0.010080
0.038855,0.014395
0.034637,0.018847
0.052129,0.003220
0.040574,0.012125
0.035777,0.024703
0.041365,0.004331
0.041169,0.014085
0.038678,0.010030
0.039155,0.009059
0.035696,0.007017
0.033758,0.066319
0.043795,0.008669
0.038349,0.010959
0.040585,0.005612
0.034442,0.008222
0.037541,0.007698
0.040710,0.006490
0.039703,0.007133
0.039757,0.006493
0.031296,0.027713
0.037657,0.027870
0.036636,0.010098
0.045833,0.080161
0.041113,0.162189
0.039644,0.005881
0.044131,0.034169
0.038829,0.011597
0.037596,0.018306
0.032796,0.595707
0.037827,0.009316
0.050803,0.679199
0.038156,0.047678
0.038095,0.286536
0.039972,0.168221
0.038143,0.301380
0.045762,0.027667
0.050194,0.041313
0.045301,0.248914
0.042502,0.113527
0.031752,3.950711
0.049132,0.881889
0.043614,1.332891
0.044269,1.039296
0.043400,0.071549
0.048826,0.129032
0.044159,0.361900
0.049490,0.139213
0.048762,0.746491
0.040692,1.753016
0.036890,0.087741
0.038119,0.021719
0.038102,0.971453
0.041486,0.346740
0.045099,0.125495
0.037285,0.042132
0.048465,0.057931
0.043509,0.050991
0.034388,0.033373
0.043730,0.006574
0.045574,0.008065
0.040124,0.017143
0.045366,0.004143
0.034347,0.077651
0.040206,0.008850
0.041027,0.018904
0.047011,0.003126
0.044809,0.006758
0.044194,0.012192
0.043604,0.006762
0.037536,0.017380
0.039733,0.007323
0.044763,0.003849
0.048205,0.008136
0.026734,1.215937
0.039277,0.008706
0.032127,0.174192
0.039148,0.400453
0.048586,0.260968
0.041134,0.536320
0.041824,0.223023
0.040955,0.029600
0.042481,0.067599
0.038970,0.034650
0.042400,0.120871
0.045537,0.186377
0.041367,0.119228
0.044488,0.040423
0.041069,0.522619
0.042569,0.013612
0.044294,0.010897
0.042291,0.035377
0.037760,0.089728
0.041273,0.401582
0.042275,1.077221
0.040758,0.101905
0.046551,0.142269
0.047568,1.424151
0.038026,0.968983
0.044442,0.010720
0.041112,0.347697
0.040978,0.568460
0.047159,0.636862
0.050806,0.492115
0.040744,0.044828
0.043462,0.099180
0.043769,0.527983
0.049874,0.028111
0.053116,0.024012
0.046222,0.081689
0.044690,0.062235
0.051476,0.003398
0.050177,0.004945
0.042815,0.113148
0.049056,0.042807
0.033189,0.531709
0.038417,0.079711
0.039717,0.337823
0.035824,0.166886
0.035633,0.945350
0.037726,0.284889
0.044285,0.242651
0.044902,0.762584
0.051259,0.047132
0.044473,0.556704
0.041389,3.446945
0.042262,0.077488
0.042978,0.811803
0.038848,1.431321
0.048994,0.522970
0.053063,0.139757
0.040279,0.131964
0.040013,1.514777
0.042633,0.077018
0.037070,0.506111
0.039285,0.224554
0.039390,0.087307
0.035644,0.300250
0.035033,0.323836
0.036486,0.074621
0.044922,0.198738
0.037221,0.227025
0.048283,0.076514
0.037606,0.126534
0.044423,0.010162
0.035863,0.390828
0.047548,0.025774
0.037845,0.032647
0.041652,0.218337
0.049284,0.082134
0.039112,0.094283
0.048284,0.040225
0.041637,0.082825
0.042182,0.488557
0.039585,0.180623
0.042702,0.171876
0.048719,0.744736
0.041607,0.907121
0.042301,0.554293
0.043985,1.978092
0.041829,0.620007
0.045066,0.190258
0.047017,0.083363
0.051125,0.014700
0.050151,0.033760
0.059685,0.250881
0.050752,0.155877
0.051461,0.016368
0.049256,0.032333
0.052245,0.068774
0.050315,0.145179
0.047273,0.048654
0.045711,0.019849
0.045677,0.046030
0.045015,0.036367
0.040742,0.213890
0.043203,0.021013
0.036396,0.197091
0.040548,0.155817
0.040551,0.458606
0.049447,0.134701
0.039367,0.090300
0.044415,0.014810
0.043388,0.073302
0.047313,0.012778
0.041007,0.035862
0.052456,0.036054
0.036373,0.319218
0.040838,0.228857
0.042545,0.888396
0.047480,0.326817
0.046027,0.164449
0.048760,0.375198
0.053788,0.056480
0.039745,7.169602
0.055297,0.001881
0.045637,0.007657
0.033170,0.740209
0.041795,0.058509
0.037661,0.122430
0.044556,1.680407
0.038735,0.370116
0.046334,0.481803
0.037085,0.019913
0.040733,0.006933
0.051858,0.001230
0.048553,0.006809
0.047024,0.162680
0.036279,3.481982
0.038389,1.400144
0.044620,0.002725
0.036249,0.006508
0.041104,0.014581
0.033313,0.168074
0.036006,0.243808
0.032339,0.245902
0.033490,1.408783
0.035443,0.730529
